Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_20,SMA_50,SMA_252,daily_return,monthly_return,adv20,VWAP,log_returns,volatility_30,volatility_60,annual_volatility,rapp
2014-01-02,183.97999572753906,184.07000732421875,182.47999572753906,182.9199981689453,153.82884216308594,119636900,183.8280029296875,181.1970001220703,179.25059997558594,164.62162695990668,-0.96,1.95,106806190.0,163.6350559791975,-0.009629868327046154,0.031118578989327884,0.05016122688210272,0.10914309331640418,0.9521648803433812
2014-01-03,183.22999572753906,183.60000610351562,182.6300048828125,182.88999938964844,153.8035888671875,81390600,183.63400268554688,181.3550003051758,179.40019989013672,164.76908729189918,-0.02,2.16,104724070.0,163.68589062431457,-0.00016401290049117279,0.03099475796499554,0.048370454601779994,0.10910236454417693,0.9589917435342039
2014-01-06,183.49000549316406,183.55999755859375,182.0800018310547,182.36000061035156,153.35784912109375,108028200,183.33600158691405,181.52600021362304,179.55599975585938,164.9119047740149,-0.29,2.18,104778780.0,163.75109867032583,-0.0029021171870233786,0.030966000980888694,0.04857785392548672,0.10911220960701559,0.9605724807120991
2014-01-07,183.08999633789062,183.7899932861328,182.9499969482422,183.47999572753906,154.2997283935547,86144200,183.26799926757812,181.6529998779297,179.72259979248048,165.06075395856584,0.61,1.98,102699590.0,163.8058816137427,0.006122887751066841,0.030554655253392078,0.04450930345971446,0.10917766697024567,0.9672988874007291
2014-01-08,183.4499969482422,183.8300018310547,182.88999938964844,183.52000427246094,154.33338928222656,96582300,183.03399963378905,181.7590003967285,179.87399993896486,165.21142856658452,0.02,1.5,104022505.0,163.86706613191674,0.00021803021842181636,0.030225133446240955,0.04422221596008312,0.10911364876158516,0.9790757873404435
2014-01-09,184.11000061035156,184.1300048828125,182.8000030517578,183.63999938964844,154.43434143066406,90683400,183.1779998779297,181.90350036621095,180.02220001220704,165.36111111111111,0.07,1.67,104507875.0,163.92451767978912,0.0006536393957015108,0.030185893445318277,0.044138022477452195,0.10910185080661473,0.9802330380370436
2014-01-10,183.9499969482422,184.22000122070312,183.00999450683594,184.13999938964844,154.854736328125,102026400,183.4279998779297,182.17450027465821,180.16160003662108,165.50817459348647,0.27,1.91,103079645.0,163.9903868361917,0.00271901848770284,0.030261652439835158,0.0433104261071878,0.1088903422559973,0.9882697747948901
2014-01-13,183.6699981689453,184.17999267578125,181.33999633789062,181.69000244140625,152.7944793701172,149892000,183.29400024414062,182.35250015258788,180.26960021972656,165.6455555264912,-1.33,0.31,104795995.0,164.07471132620708,-0.013394382993536347,0.03327627705966464,0.04388053818652089,0.10981976581990202,1.0020915013358265
2014-01-14,182.2899932861328,183.77000427246094,181.9499969482422,183.6699981689453,154.45956420898438,105016100,183.33200073242188,182.63050003051757,180.4272003173828,165.79119043501598,1.09,1.48,104656400.0,164.13989994024948,0.010838707619623023,0.0349475450259145,0.044630134423618045,0.11026300755233938,0.996406578816959
2014-01-15,184.10000610351562,184.94000244140625,183.7100067138672,184.66000366210938,155.29209899902344,98525800,183.56000061035155,182.9025001525879,180.59620025634766,165.94035708715046,0.54,2.29,104772940.0,164.20374692211018,0.0053756570049348085,0.03512809894574344,0.04447262185476191,0.11035420822659932,0.9965341742827022
2014-01-16,184.27999877929688,184.66000366210938,183.8300018310547,184.4199981689453,155.0902557373047,72290600,183.71600036621095,183.19100036621094,180.74800018310546,166.08865071856786,-0.13,2.6,103893170.0,164.24979409510263,-0.0013005609938403495,0.034803675388866986,0.044521158327174896,0.11037136175381944,0.9990240067369681
2014-01-17,184.10000610351562,184.4499969482422,183.32000732421875,183.63999938964844,154.43434143066406,107848700,183.61600036621093,183.28800048828126,180.8954000854492,166.2300792875744,-0.42,2.18,97540305.0,164.31546070055202,-0.004238439124883975,0.03516503802685086,0.044539344769809905,0.11034968200232086,0.9966238558089298
2014-01-21,184.6999969482422,184.77000427246094,183.0500030517578,184.17999267578125,154.88841247558594,88621200,184.11399841308594,183.4224998474121,181.03559997558594,166.37234115600586,0.29,2.93,95144805.0,164.37058668068457,0.002936184469195524,0.034823400537501985,0.04422723619709584,0.11036080181854269,0.999565715194666
2014-01-22,184.49000549316406,184.57000732421875,183.91000366210938,184.3000030517578,154.98936462402344,61270900,184.23999938964843,183.55950012207032,181.22300018310546,166.51190464080327,0.07,1.86,88354000.0,164.40875093159016,0.0006513807078336598,0.03320179561608836,0.04415895559780281,0.11026762933370042,0.9977753464171445
2014-01-23,183.3699951171875,183.39999389648438,181.82000732421875,182.7899932861328,153.7195281982422,132496900,183.86599731445312,183.5724998474121,181.33300018310547,166.64452368115622,-0.82,0.77,90698945.0,164.48455521486986,-0.008226965035855294,0.034283693784717614,0.044911263390501645,0.11063686172109974,1.0115980658342603
