Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,384.3699951171875,386.42999267578125,377.8299865722656,380.82000732421875,377.9681396484375,74850700
2023-01-04,383.17999267578125,385.8800048828125,380.0,383.760009765625,380.8861389160156,85934100
2023-01-05,381.7200012207031,381.8399963378906,378.760009765625,379.3800048828125,376.5389099121094,76970500
2023-01-06,382.6099853515625,389.25,379.4100036621094,388.0799865722656,385.1737365722656,104189600
2023-01-09,390.3699951171875,393.70001220703125,387.6700134277344,387.8599853515625,384.95538330078125,73978100
2023-01-10,387.25,390.6499938964844,386.2699890136719,390.5799865722656,387.655029296875,65358100
2023-01-11,392.2300109863281,395.6000061035156,391.3800048828125,395.5199890136719,392.55804443359375,68881100
2023-01-12,396.6700134277344,398.489990234375,392.4200134277344,396.9599914550781,393.98724365234375,90157700
2023-01-13,393.6199951171875,399.1000061035156,393.3399963378906,398.5,395.5157165527344,63903900
2023-01-17,398.4800109863281,400.2300109863281,397.05999755859375,397.7699890136719,394.7911682128906,62677300
2023-01-18,399.010009765625,400.1199951171875,391.2799987792969,391.489990234375,388.5582275390625,99632300
2023-01-19,389.3599853515625,391.0799865722656,387.260009765625,388.6400146484375,385.7295837402344,86958900
2023-01-20,390.1000061035156,396.0400085449219,388.3800048828125,395.8800048828125,392.91534423828125,91806400
2023-01-23,396.7200012207031,402.6499938964844,395.7200012207031,400.6300048828125,397.6297912597656,84178800
2023-01-24,398.8800048828125,401.1499938964844,397.6400146484375,400.20001220703125,397.2029724121094,59524900
2023-01-25,395.95001220703125,400.70001220703125,393.55999755859375,400.3500061035156,397.35186767578125,84800300
2023-01-26,403.1300048828125,404.9200134277344,400.0299987792969,404.75,401.71893310546875,72287400
2023-01-27,403.6600036621094,408.1600036621094,403.44000244140625,405.67999267578125,402.6419372558594,68346200
2023-01-30,402.79998779296875,405.1300048828125,400.2799987792969,400.5899963378906,397.5900573730469,74202000
2023-01-31,401.1300048828125,406.5299987792969,400.7699890136719,406.4800109863281,403.43597412109375,86811800
2023-02-01,405.2099914550781,413.6700134277344,402.3500061035156,410.79998779296875,407.7236022949219,101459200
2023-02-02,414.8599853515625,418.30999755859375,412.8800048828125,416.7799987792969,413.6588134765625,101654500
2023-02-03,411.5899963378906,416.9700012207031,411.0899963378906,412.3500061035156,409.26202392578125,94736800
2023-02-06,409.7900085449219,411.2900085449219,408.1000061035156,409.8299865722656,406.7608642578125,60295300
2023-02-07,408.8699951171875,416.489990234375,407.57000732421875,415.19000244140625,412.08074951171875,90990700
2023-02-08,413.1300048828125,414.5299987792969,409.92999267578125,410.6499938964844,407.5747375488281,76227500
2023-02-09,414.4100036621094,414.57000732421875,405.80999755859375,407.0899963378906,404.0413818359375,78694900
2023-02-10,405.8599853515625,408.44000244140625,405.010009765625,408.0400085449219,404.9842834472656,70769700
2023-02-13,408.7200012207031,412.9700012207031,408.239990234375,412.8299865722656,409.7384033203125,64913500
2023-02-14,411.239990234375,415.04998779296875,408.510009765625,412.6400146484375,409.54986572265625,88389300
2023-02-15,410.3500061035156,414.05999755859375,409.4700012207031,413.9800109863281,410.87982177734375,61555700
2023-02-16,408.7900085449219,412.9100036621094,408.1400146484375,408.2799987792969,405.22247314453125,76431500
2023-02-17,406.05999755859375,407.510009765625,404.04998779296875,407.260009765625,404.21014404296875,89257800
2023-02-21,403.05999755859375,404.1600036621094,398.82000732421875,399.0899963378906,396.101318359375,82655900
2023-02-22,399.5199890136719,401.1300048828125,397.0199890136719,398.5400085449219,395.555419921875,83742300
2023-02-23,401.55999755859375,402.20001220703125,396.25,400.6600036621094,397.6595458984375,96242400
2023-02-24,395.4200134277344,397.25,393.6400146484375,396.3800048828125,393.4115905761719,108194400
2023-02-27,399.8699951171875,401.2900085449219,396.75,397.7300109863281,394.7514953613281,80444700
2023-02-28,397.2300109863281,399.2799987792969,396.1499938964844,396.260009765625,393.29248046875,96438600
2023-03-01,395.4100036621094,396.69000244140625,393.3800048828125,394.739990234375,391.78387451171875,99706800
